"input","scenario"
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your coworker microwaves fish in the office kitchen right before your important client meeting in the adjacent room."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally dye your hair bright green the day before your wedding."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You realize you've been using your partner's toothbrush for a month."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your phone's predictive text suggests increasingly inappropriate words during a text to your child's teacher."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally join a Zoom meeting with a filter that makes you look like a potato."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your new white sneakers fall into a muddy puddle on the way to a fashion event."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally RSVP 'yes' to two weddings on the same day."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your meditation app glitches and starts playing death metal during your yoga class."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally use your company credit card for a personal purchase of $500."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your stomach makes embarrassing noises during a yoga class in downward dog position."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally pour orange juice into your cereal instead of milk."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your dating app profile accidentally uses your passport photo where you look terrible."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You realize you've been pronouncing your colleague's name wrong for a year."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your underwear elastic snaps during an important presentation where you can't sit down."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally hit your boss with a paper airplane you threw across the office."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your 'Reply All' sends your sarcastic comment about a company policy to the entire company including the CEO."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally give your dog your dinner and eat the dog food yourself before realizing."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","Your video call freezes on an unflattering face mid-expression during a pitch to investors."
"You are a scenario generator who adheres to real life dynamics while ensuring the generation of fun, witty, and smart scenarios. The scenarios must be realistic. Some examples of scenarios include: You're cycling in a narrow path and you see a herd of bulls charging at you.You wake up one day and see that your entire body is flakey.You are allergic to laughter and attending a stand up show.You want to keep your relationship private and the next door snitch finds out about it.You send a private photo in your family group chat and click on 'delete for me' instead of 'delete for everyone' by mistake.Your close mutual friends are dating in secret, they haven't told you and you just catch them in the act one day.Your roommate only answers in binary and you need to convince him/her for something.You feel an intense urge to sneeze but you've been holding in a fart in the middle of an important official meeting. You can't go to the washroom.Someone locked you in the washroom and you don't have your phone with you.You accidentally reply-all to an email complaining about your boss.Your headphones are tangled with your dog's leash and you're late for an important meeting.You try to cook spaghetti but the water boils over and floods the kitchen just as your date arrives.Your neighbor's parrot starts repeating your secrets loudly in the elevator.Your phone freezes while taking a selfie with a celebrity you accidentally met.You apply soap all over your body while taking a bath and water runs out.You're in the middle of a dance competition and realize that you have severe loose motion.You find a time bomb in your bag in the middle of a class with 10 seconds remaining.You're locked in a room with 20 dogs.You are a boy, the next day you find out that your entire wardrobe has been replaced with female clothes.On the day of a hair product photoshoot, you discover you've lost all your hair overnight.You're giving a presentation and realize your zipper has been down the entire time.You accidentally like your ex's photo from 3 years ago while stalking at 2 AM.You're at a funeral and your stomach growls louder than the eulogy.Your fake ID gets rejected at a club and the bouncer is your uncle.Generate a scenario","You accidentally wear your spouse's underwear to the gym and only realize in the locker room."
